Parameters,Train/Test Split,Dataset Size,Train Accuracy,Test Accuracy
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [50, 50, 50], 'initialization': 'xavier', 'epochs': 50, 'optimizer': 'sgd', 'learning_rate': 0.01, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l1', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.7194657692404207,0.7175641739036198
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [50, 50, 50], 'initialization': 'random', 'epochs': 100, 'optimizer': 'sgd', 'learning_rate': 0.05, 'lr_decay_type': 'step', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l1', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.6635478298919045,0.712536445275296
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [20, 20, 20], 'initialization': 'random', 'epochs': 50, 'optimizer': 'sgd', 'learning_rate': 0.05, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l2', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.6791391432462371,0.7099403641714027
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [20, 20, 20], 'initialization': 'random', 'epochs': 50, 'optimizer': 'sgd', 'learning_rate': 0.05, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l1', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.6966052646345796,0.7076271963553683
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [50, 50, 50], 'initialization': 'he', 'epochs': 100, 'optimizer': 'sgd', 'learning_rate': 0.05, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l1', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.6969856663387792,0.7072848869076275
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [20, 20, 20], 'initialization': 'random', 'epochs': 100, 'optimizer': 'adam', 'learning_rate': 0.05, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l2', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.738410069263783,0.6989636933157437
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [50, 50, 50], 'initialization': 'random', 'epochs': 100, 'optimizer': 'sgd', 'learning_rate': 0.01, 'lr_decay_type': 'exponential', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l1', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.6965289875242593,0.6979312942735849
"{'activation_func': 'tanh', 'hidden_layer_sizes': [20, 20, 20], 'initialization': 'he', 'epochs': 50, 'optimizer': 'sgd', 'learning_rate': 0.01, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l2', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.7115128561307675,0.696246475
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [20, 20, 20], 'initialization': 'xavier', 'epochs': 50, 'optimizer': 'sgd', 'learning_rate': 0.05, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l2', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.6870571818591688,0.6955322625351948
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [50, 50, 50], 'initialization': 'random', 'epochs': 100, 'optimizer': 'adam', 'learning_rate': 0.01, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l2', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.7048583553738301,0.6946335048527704
